ticket_id,ticket_type,content,path,status,created_at,updated_at
GENESIS_SSOT_0419,STICKY,Root SSOT Initialized via STRIKE_7,,ACTIVE,2026-04-19 12:40:47.58734,2026-04-19 12:40:47.58734
MIGRATION_LOG_0419,STRIKE_EVENT,Legacy consolidation completed via explicit dblink transport,,CLOSED,2026-04-19 12:46:19.246896,2026-04-19 12:46:19.246896
20260417-024,LEGACY_RTGO,FK_SOCAT_REPAIR,parent:20260417-023_20260417-024,CLOSED,2026-04-19 12:50:43.341831,2026-04-19 12:50:43.341831
20260406-RT-289-FINAL-127-FIX,LEGACY_RTDB, | ,parent:20260406-RT-288-PATH-RECOVERY_20260406-RT-289-FINAL-127-FIX,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-330-EXEC,LEGACY_RTDB, | ,parent:20260406-RT-329_20260406-RT-330-EXEC,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
STICKY-GENESIS-V1.2.2,LEGACY_RTDB, | ,parent:20260406-RT-323-GENESIS-VERIFIED_STICKY-GENESIS-V1.2.2,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
STICKY-GENESIS-V1.2.3,LEGACY_RTDB, | ,parent:20260406-RT-331_STICKY-GENESIS-V1.2.3,STICKY,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-235-DB_VAULT_INIT,LEGACY_RTDB, | ,parent:20260406-RT-234-SYNC_20260406-RT-235-DB_VAULT_INIT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-236-PREFLIGHT,LEGACY_RTDB, | ,parent:20260406-RT-235-DB_VAULT_INIT_20260406-RT-236-PREFLIGHT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-237-COMPILE,LEGACY_RTDB, | ,parent:20260406-RT-236-PREFLIGHT_20260406-RT-237-COMPILE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-238-PATCH_BUILD_SCRIPT,LEGACY_RTDB, | ,parent:20260406-RT-237-COMPILE_20260406-RT-238-PATCH_BUILD_SCRIPT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-241,LEGACY_RTDB, | ,parent:20260406-RT-238-PATCH_BUILD_SCRIPT_20260406-RT-241,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-243-SSH_PTY_FIX,LEGACY_RTDB, | ,parent:20260406-RT-242-BOO_INIT_RETRY_20260406-RT-243-SSH_PTY_FIX,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-245-GMODEM_JOIN,LEGACY_RTDB, | ,parent:20260406-RT-244-VERIFY_BOOT_20260406-RT-245-GMODEM_JOIN,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-246,LEGACY_RTDB, | ,parent:20260406-RT-245-GMODEM_JOIN_20260406-RT-246,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-264-UNIFIED_IDENTITY,LEGACY_RTDB, | ,parent:20260406-RT-263_20260406-RT-264-UNIFIED_IDENTITY,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-269,LEGACY_RTDB, | ,parent:20260406-RT-268_20260406-RT-269,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-274-FINAL_IDENTITY_SWEEP,LEGACY_RTDB, | ,parent:20260406-RT-273-AUTH_RECOVERY_201_20260406-RT-274-FINAL_IDENTITY_SWEEP,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-278-GMODEM_INIT,LEGACY_RTDB, | ,parent:20260406-RT-277-ROW1-INTENT_20260406-RT-278-GMODEM_INIT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-283-BASHRC_IGNITION_FIX,LEGACY_RTDB, | ,parent:20260406-RT-282-CRASH_RECOVERY_20260406-RT-283-BASHRC_IGNITION_FIX,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-332-ANCHOR,LEGACY_RTDB, | ,parent:STICKY-GENESIS-V1.2.3_20260406-RT-332-ANCHOR,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-335-DARK,LEGACY_RTDB, | ,parent:STICKY-GENESIS-V1.2.3_20260406-RT-335-DARK,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-302-GENESIS-V1.2,LEGACY_RTDB, | ,parent:20260406-RT-301-QUIET-SEAL_20260406-RT-302-GENESIS-V1.2,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-304-RECOVERY-FINAL,LEGACY_RTDB, | ,parent:20260406-RT-303-CRASH-RECOVERY_20260406-RT-304-RECOVERY-FINAL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-271-MESH_EXPANSION_201_6,LEGACY_RTDB, | ,parent:COOLOFF_20260406_12H_20260406-RT-271-MESH_EXPANSION_201_6,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-273-AUTH_RECOVERY_201,LEGACY_RTDB, | ,parent:COOLOFF_20260406_12H_20260406-RT-273-AUTH_RECOVERY_201,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-281-PRO_AUTH_FIX_201,LEGACY_RTDB, | ,parent:COOLOFF_20260406_12H_20260406-RT-281-PRO_AUTH_FIX_201,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-284-DIAGNOSE_201_MH_AIRGAP,LEGACY_RTDB, | ,parent:COOLOFF_20260406_12H_20260406-RT-284-DIAGNOSE_201_MH_AIRGAP,STALLED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-306-STUB-FIX-FINAL,LEGACY_RTDB, | ,parent:20260406-RT-305-GENESIS-SEAL_20260406-RT-306-STUB-FIX-FINAL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-307-QUIET-STATE,LEGACY_RTDB, | ,parent:20260406-RT-306_20260406-RT-307-QUIET-STATE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-277-ROW1-INTENT,LEGACY_RTDB, | ,parent:20260406-RT-276-IGNITION_DIAGNOSTIC_20260406-RT-277-ROW1-INTENT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
GEMINI-INSTRUCTION-STICKY-EVAL,LEGACY_RTDB, | ,parent:20260406-RT-277-ROW1-INTENT_GEMINI-INSTRUCTION-STICKY-EVAL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
RT-316-UNIFIED,LEGACY_RTDB, | ,parent:STICKY-20260406-V1.2_RT-316-UNIFIED,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-321-PRO-RECONSTRUCT,LEGACY_RTDB, | ,parent:20260406-RT-320-PRO-PURGE_20260406-RT-321-PRO-RECONSTRUCT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-322-DEEP-PURGE,LEGACY_RTDB, | ,parent:20260406-RT-321-PRO-RECONSTRUCT_20260406-RT-322-DEEP-PURGE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
RT-317-UNIFIED-FINAL,LEGACY_RTDB, | ,parent:RT-316-UNIFIED_RT-317-UNIFIED-FINAL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-323-GENESIS-VERIFIED,LEGACY_RTDB, | ,parent:RT-317-UNIFIED-FINAL_20260406-RT-323-GENESIS-VERIFIED,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
STICKY-20260406-V1.2,LEGACY_RTDB, | ,parent:GENESIS_LOCKED_STICKY-20260406-V1.2,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-318-PRO-TRACE,LEGACY_RTDB, | ,parent:RT-317-UNIFIED-FINAL_20260406-RT-318-PRO-TRACE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-319-PRO-TRACE-SINGLE,LEGACY_RTDB, | ,parent:20260406-RT-318-PRO-TRACE_20260406-RT-319-PRO-TRACE-SINGLE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-320-PRO-PURGE,LEGACY_RTDB, | ,parent:20260406-RT-319-PRO-TRACE-SINGLE_20260406-RT-320-PRO-PURGE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-324-SILENCE,LEGACY_RTDB, | ,parent:STICKY-GENESIS-V1.2.2_20260406-RT-324-SILENCE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-325-GHOST-HUNT,LEGACY_RTDB, | ,parent:20260406-RT-324-SILENCE_20260406-RT-325-GHOST-HUNT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-326-USER-UNIFICATION,LEGACY_RTDB, | ,parent:20260406-RT-325-GHOST-RECOVERY_20260406-RT-326-USER-UNIFICATION,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-327-USER-FINAL,LEGACY_RTDB, | ,parent:STICKY-GENESIS-V1.2.2_20260406-RT-327-USER-FINAL,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-325-GHOST-RECOVERY,LEGACY_RTDB, | ,parent:STICKY-GENESIS-V1.2.2_20260406-RT-325-GHOST-RECOVERY,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-363-HYPERLOOP-AUDIT,LEGACY_RTDB, | ,parent:20260406-RT-362-HYPERLOOP-RESTORE_20260406-RT-363-HYPERLOOP-AUDIT,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-365-TUNNEL-PURGE,LEGACY_RTDB, | ,parent:20260406-RT-364-BRIDGE-FIX_20260406-RT-365-TUNNEL-PURGE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-367-AUDIT-RESUME,LEGACY_RTDB, | ,parent:20260406-RT-366-MESH-SYNC_20260406-RT-367-AUDIT-RESUME,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-371-VIBE-WORKER,LEGACY_RTDB, | ,parent:20260406-RT-370-VIBE-FLOW_20260406-RT-371-VIBE-WORKER,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-372-VIBE-EXEC,LEGACY_RTDB, | ,parent:20260406-RT-371-VIBE-WORKER_20260406-RT-372-VIBE-EXEC,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-373-LOGIC-PARITY,LEGACY_RTDB, | ,parent:20260406-RT-372-VIBE-EXEC_20260406-RT-373-LOGIC-PARITY,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-374-FIX-PARITY,LEGACY_RTDB, | ,parent:20260406-RT-373-LOGIC-PARITY_20260406-RT-374-FIX-PARITY,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-378-GHOST-PURGE,LEGACY_RTDB, | ,parent:20260406-RT-377-GHOST-RESO_20260406-RT-378-GHOST-PURGE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-393-PRIME,LEGACY_RTDB, | ,parent:20260406-RT-392-PIPE-HANDSHAKE_20260406-RT-393-PRIME,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-395-CONFIRM,LEGACY_RTDB, | ,parent:20260406-RT-394-VERIFY-PARITY_20260406-RT-395-CONFIRM,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-412-IGNITE,LEGACY_RTDB, | ,parent:20260406-RT-411-UNIFY_20260406-RT-412-IGNITE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-413-COMPLETE,LEGACY_RTDB, | ,parent:20260406-RT-412-IGNITE_20260406-RT-413-COMPLETE,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
20260406-RT-424-NETWORK,LEGACY_RTDB, | ,parent:20260406-RT-423-HUD-ORCHESTRATION_20260406-RT-424-NETWORK,CLOSED,2026-04-19 12:50:46.605729,2026-04-19 12:50:46.605729
